Temperature (K),Luminosity(L/Lo),Radius(R/Ro),Absolute magnitude(Mv),Star type,Star color,Spectral Class
0.19169228343974146,0.47672529485783005,0.5706935559794049,0.021575984990619124,5,White,A
0.17238117758335303,4.944550399561542e-10,8.211480100812344e-07,0.8261413383364604,2,White,A
0.2912167310370195,0.0011749192626662824,0.0031827696870748634,0.32958098811757347,3,Blue-white,A
0.1524132313917133,4.82682300909579e-10,2.0220769748250395e-06,0.8111319574734209,2,White,A
0.26691363863272116,0.0008111416261271118,0.00359334369211548,0.3733583489681051,3,Blue-white,A
0.1835211896692152,2.3545478093150194e-10,2.0015482745730066e-07,0.8377110694183866,2,Blue white,A
0.31846246814324375,0.0012855830097040883,0.0029441235466450047,0.3089430894308943,3,Blue-white,A
0.1840729355508263,4.4736314195073e-05,0.001272060911117092,0.37648530331457164,3,Blue-White,A
0.1519665799637424,7.063643427945056e-11,1.9502265239429317e-07,0.8358348968105067,2,White,A
0.2121068810593521,0.000649855101189033,0.0030010906898443905,0.37313946216385246,3,Blue-white,A
0.18367883134967553,5.650914742356047e-10,5.645392569308486e-07,0.8036272670419012,2,white,A
0.16061059877564962,1.024218878860796e-05,0.000919480484288462,0.4484052532833021,3,Whitish,A
0.1939255405795959,3.414084905315541e-05,0.0009759344099815467,0.41138211382113826,3,Blue-white,A
0.20325267334016447,4.355913447232786e-10,1.2830437657519286e-06,0.8098811757348343,2,Blue White,A
0.18630619269068074,5.297723152767557e-05,0.0013454510145181021,0.4180737961225766,3,Blue-white,A
0.24463361446099682,0.0007911279697479342,0.0035779471669264576,0.3008130081300814,3,Blue-white,A
0.18102519639526024,0.6327764827418969,0.7303042004389447,0.037210756722951835,5,White,A
0.292950789522083,0.0009276917426882053,0.003070888270701295,0.36898061288305195,3,Blue-white,A
0.1742203305220567,8.594099503999821e-10,6.671827581910031e-07,0.8167604752970606,2,Blue white,A
0.3305483303118678,8.711826894465572e-10,6.774471083170181e-07,0.7454659161976236,2,Blue White,B
0.4295998528677649,1.4362741636821618e-09,4.82424455922725e-07,0.7723577235772359,2,Blue,B
